continent,location,date,population,new_vaccinations,TotalVaccinated,Vaccine_percentage
Asia,Afghanistan,2020-11-17,40099462,,,
Asia,Afghanistan,2020-11-18,40099462,,,
Asia,Afghanistan,2020-11-19,40099462,,,
Asia,Afghanistan,2020-11-20,40099462,,,
Asia,Afghanistan,2020-11-21,40099462,,,
Asia,Afghanistan,2020-11-22,40099462,,,
Asia,Afghanistan,2020-11-23,40099462,,,
Asia,Afghanistan,2020-11-24,40099462,,,
Asia,Afghanistan,2020-11-25,40099462,,,
Asia,Afghanistan,2020-11-26,40099462,,,
Asia,Afghanistan,2020-11-27,40099462,,,
Asia,Afghanistan,2020-11-28,40099462,,,
Asia,Afghanistan,2020-11-29,40099462,,,
Asia,Afghanistan,2020-11-30,40099462,,,
Asia,Afghanistan,2020-12-01,40099462,,,
Asia,Afghanistan,2020-12-02,40099462,,,
Asia,Afghanistan,2020-12-03,40099462,,,
Asia,Afghanistan,2020-12-04,40099462,,,
Asia,Afghanistan,2020-12-05,40099462,,,
Asia,Afghanistan,2020-12-06,40099462,,,
Asia,Afghanistan,2020-12-07,40099462,,,
Asia,Afghanistan,2020-12-08,40099462,,,
Asia,Afghanistan,2020-12-09,40099462,,,
Asia,Afghanistan,2020-12-10,40099462,,,
Asia,Afghanistan,2020-12-11,40099462,,,
Asia,Afghanistan,2020-12-12,40099462,,,
Asia,Afghanistan,2020-12-13,40099462,,,
Asia,Afghanistan,2020-12-14,40099462,,,
Asia,Afghanistan,2020-12-15,40099462,,,
Asia,Afghanistan,2020-12-16,40099462,,,
Asia,Afghanistan,2020-12-17,40099462,,,
Asia,Afghanistan,2020-12-18,40099462,,,
Asia,Afghanistan,2020-12-19,40099462,,,
Asia,Afghanistan,2020-12-20,40099462,,,
Asia,Afghanistan,2020-12-21,40099462,,,
Asia,Afghanistan,2020-12-22,40099462,,,
Asia,Afghanistan,2020-12-23,40099462,,,
Asia,Afghanistan,2020-12-24,40099462,,,
Asia,Afghanistan,2020-12-25,40099462,,,
Asia,Afghanistan,2020-12-26,40099462,,,
Asia,Afghanistan,2020-12-27,40099462,,,
Asia,Afghanistan,2020-12-28,40099462,,,
Asia,Afghanistan,2020-12-29,40099462,,,
Asia,Afghanistan,2020-12-30,40099462,,,
Asia,Afghanistan,2020-12-31,40099462,,,
Asia,Afghanistan,2021-01-01,40099462,,,
Asia,Afghanistan,2021-01-02,40099462,,,
Asia,Afghanistan,2021-01-03,40099462,,,
Asia,Afghanistan,2021-01-04,40099462,,,
Asia,Afghanistan,2021-01-05,40099462,,,
Asia,Afghanistan,2021-01-06,40099462,,,
Asia,Afghanistan,2021-01-07,40099462,,,
Asia,Afghanistan,2021-01-08,40099462,,,
Asia,Afghanistan,2021-01-09,40099462,,,
Asia,Afghanistan,2021-01-10,40099462,,,
Asia,Afghanistan,2021-01-11,40099462,,,
Asia,Afghanistan,2021-01-12,40099462,,,
Asia,Afghanistan,2021-01-13,40099462,,,
Asia,Afghanistan,2021-01-14,40099462,,,
Asia,Afghanistan,2021-01-15,40099462,,,
Asia,Afghanistan,2021-01-16,40099462,,,
Asia,Afghanistan,2021-01-17,40099462,,,
Asia,Afghanistan,2021-01-18,40099462,,,
Asia,Afghanistan,2021-01-19,40099462,,,
Asia,Afghanistan,2021-01-20,40099462,,,
Asia,Afghanistan,2021-01-21,40099462,,,
Asia,Afghanistan,2021-01-22,40099462,,,
Asia,Afghanistan,2021-01-23,40099462,,,
Asia,Afghanistan,2021-01-24,40099462,,,
Asia,Afghanistan,2021-01-25,40099462,,,
Asia,Afghanistan,2021-01-26,40099462,,,
Asia,Afghanistan,2021-01-27,40099462,,,
Asia,Afghanistan,2021-01-28,40099462,,,
Asia,Afghanistan,2021-01-29,40099462,,,
Asia,Afghanistan,2021-01-30,40099462,,,
Asia,Afghanistan,2021-01-31,40099462,,,
Asia,Afghanistan,2021-02-01,40099462,,,
Asia,Afghanistan,2021-02-02,40099462,,,
Asia,Afghanistan,2021-02-03,40099462,,,
Asia,Afghanistan,2021-02-04,40099462,,,
Asia,Afghanistan,2021-02-05,40099462,,,
Asia,Afghanistan,2021-02-06,40099462,,,
Asia,Afghanistan,2021-02-07,40099462,,,
Asia,Afghanistan,2021-02-08,40099462,,,
Asia,Afghanistan,2021-02-09,40099462,,,
Asia,Afghanistan,2021-02-10,40099462,,,
Asia,Afghanistan,2021-02-11,40099462,,,
Asia,Afghanistan,2021-02-12,40099462,,,
Asia,Afghanistan,2021-02-13,40099462,,,
Asia,Afghanistan,2021-02-14,40099462,,,
Asia,Afghanistan,2021-02-15,40099462,,,
Asia,Afghanistan,2021-02-16,40099462,,,
Asia,Afghanistan,2021-02-17,40099462,,,
Asia,Afghanistan,2021-02-18,40099462,,,
Asia,Afghanistan,2021-02-19,40099462,,,
Asia,Afghanistan,2021-02-20,40099462,,,
Asia,Afghanistan,2021-02-21,40099462,,,
Asia,Afghanistan,2021-02-22,40099462,,,
Asia,Afghanistan,2021-02-23,40099462,,,
Asia,Afghanistan,2021-02-24,40099462,,,
Asia,Afghanistan,2021-02-25,40099462,,,
Asia,Afghanistan,2021-02-26,40099462,,,
Asia,Afghanistan,2021-02-27,40099462,,,
Asia,Afghanistan,2021-02-28,40099462,,,
Asia,Afghanistan,2021-03-01,40099462,,,
Asia,Afghanistan,2021-03-02,40099462,,,
Asia,Afghanistan,2021-03-03,40099462,,,
Asia,Afghanistan,2021-03-04,40099462,,,
Asia,Afghanistan,2021-03-05,40099462,,,
Asia,Afghanistan,2021-03-06,40099462,,,
Asia,Afghanistan,2021-03-07,40099462,,,
Asia,Afghanistan,2021-03-08,40099462,,,
Asia,Afghanistan,2021-03-09,40099462,,,
Asia,Afghanistan,2021-03-10,40099462,,,
Asia,Afghanistan,2021-03-11,40099462,,,
Asia,Afghanistan,2021-03-12,40099462,,,
Asia,Afghanistan,2021-03-13,40099462,,,
Asia,Afghanistan,2021-03-14,40099462,,,
Asia,Afghanistan,2021-03-15,40099462,,,
Asia,Afghanistan,2021-03-16,40099462,,,
Asia,Afghanistan,2021-03-17,40099462,,,
Asia,Afghanistan,2021-03-18,40099462,,,
Asia,Afghanistan,2021-03-19,40099462,,,
Asia,Afghanistan,2021-03-20,40099462,,,
Asia,Afghanistan,2021-03-21,40099462,,,
Asia,Afghanistan,2021-03-22,40099462,,,
Asia,Afghanistan,2021-03-23,40099462,,,
Asia,Afghanistan,2021-03-24,40099462,,,
Asia,Afghanistan,2021-03-25,40099462,,,
Asia,Afghanistan,2021-03-26,40099462,,,
Asia,Afghanistan,2021-03-27,40099462,,,
Asia,Afghanistan,2021-03-28,40099462,,,
Asia,Afghanistan,2021-03-29,40099462,,,
Asia,Afghanistan,2021-03-30,40099462,,,
Asia,Afghanistan,2021-03-31,40099462,,,
Asia,Afghanistan,2021-04-01,40099462,,,
Asia,Afghanistan,2021-04-02,40099462,,,
Asia,Afghanistan,2021-04-03,40099462,,,
Asia,Afghanistan,2021-04-04,40099462,,,
Asia,Afghanistan,2021-04-05,40099462,,,
Asia,Afghanistan,2021-04-06,40099462,,,
Asia,Afghanistan,2021-04-07,40099462,,,
Asia,Afghanistan,2021-04-08,40099462,,,
Asia,Afghanistan,2021-04-09,40099462,,,
Asia,Afghanistan,2021-04-10,40099462,,,
Asia,Afghanistan,2021-04-11,40099462,,,
Asia,Afghanistan,2021-04-12,40099462,,,
Asia,Afghanistan,2021-04-13,40099462,,,
Asia,Afghanistan,2021-04-14,40099462,,,
Asia,Afghanistan,2021-04-15,40099462,,,
Asia,Afghanistan,2021-04-16,40099462,,,
Asia,Afghanistan,2021-04-17,40099462,,,
Asia,Afghanistan,2021-04-18,40099462,,,
Asia,Afghanistan,2021-04-19,40099462,,,
Asia,Afghanistan,2021-04-20,40099462,,,
Asia,Afghanistan,2021-04-21,40099462,,,
Asia,Afghanistan,2021-04-22,40099462,,,
Asia,Afghanistan,2021-04-23,40099462,,,
Asia,Afghanistan,2021-04-24,40099462,,,
Asia,Afghanistan,2021-04-25,40099462,,,
Asia,Afghanistan,2021-04-26,40099462,,,
Asia,Afghanistan,2021-04-27,40099462,,,
Asia,Afghanistan,2021-04-28,40099462,,,
Asia,Afghanistan,2021-04-29,40099462,,,
Asia,Afghanistan,2021-04-30,40099462,,,
Asia,Afghanistan,2021-05-01,40099462,,,
Asia,Afghanistan,2021-05-02,40099462,,,
Asia,Afghanistan,2021-05-03,40099462,,,
Asia,Afghanistan,2021-05-04,40099462,,,
Asia,Afghanistan,2021-05-05,40099462,,,
Asia,Afghanistan,2021-05-06,40099462,,,
Asia,Afghanistan,2021-05-07,40099462,,,
Asia,Afghanistan,2021-05-08,40099462,,,
Asia,Afghanistan,2021-05-09,40099462,,,
Asia,Afghanistan,2021-05-10,40099462,,,
Asia,Afghanistan,2021-05-11,40099462,,,
Asia,Afghanistan,2021-05-12,40099462,,,
Asia,Afghanistan,2021-05-13,40099462,,,
Asia,Afghanistan,2021-05-14,40099462,,,
Asia,Afghanistan,2021-05-15,40099462,,,
Asia,Afghanistan,2021-05-16,40099462,,,
